8.67,9.33,7.93
8.33,8,4.43
7.67,7.83,7.86
6.9,6.42,8.21
6.42,6.9,5.07
7.43,8,7.86
8.75,9,7
8,7.98,6.79
8.5,8.13,7.86
7.83,7.63,7.21
6.08,6.75,8
7.83,8.17,6.36
7.67,8.08,8.07
8,8,8.14
8,7.83,7.29
9.86,9.3,6.93
6,6.2,6.14
8.02,8.5,8.86
6.46,6.67,1.79
8,8.5,3.07
6.58,7.83,8.71
9.33,8,8.64
5.6,5.8,5.43
6.33,7.25,5.79
7,8.42,7.29
8,6.58,4.64
9.08,9.5,4.21
8.5,8.54,8.86
7.67,7.75,7.36
9.48,9.34,6.14
9.56,9.17,7.57
6.9,7.42,5
8.3,7.6,5.21
9.2,8.4,5.86
8.5,9,8.57
8.58,8.67,4
8.67,9.17,7.5
9.08,8.91,8.43
9.76,9.6,8
9.8,9.6,8
7,7.3,8.64
8.54,8.5,7.29
6.67,6.67,7.29
7,7.2,7.07
9.08,9.39,7.86
9.3,9,7
7.2,7.2,6.93
7.76,9,8.43
6.9,6.42,8.21
6.42,6.9,5.07
9.2,8.4,5.86
6.42,6.9,5.07
7.43,8,7.86
8.75,9,7
8,7.98,6.79
6.9,7.42,5
8.3,7.6,5.21


